date,actual_c,prediction_c,persistence_c,fusion_coefficient
2024-12-18,23.092613,22.50321,22.5681829166667,0.8222495
2024-12-19,22.861555,22.828829,23.09261333333335,0.8222495
2024-12-20,22.063145,22.700245,22.86155458333336,0.8222495
2024-12-21,22.296986,22.239021,22.06314500000002,0.8222495
2024-12-22,21.883783,22.298637,22.296985833333355,0.8222495
2024-12-23,21.325197,21.892433,21.88378166666669,0.8222495
2024-12-24,21.851513,21.603374,21.325197916666692,0.8222495
2024-12-25,22.22791,22.050724,21.851512500000023,0.8222495
2024-12-26,22.4443,21.972042,22.227908750000022,0.8222495
2024-12-27,22.216684,22.190704,22.44429958333335,0.8222495
2024-12-28,22.867996,22.093231,22.216684166666692,0.8222495
2024-12-29,22.63584,22.710716,22.86799500000002,0.8222495
2024-12-30,23.347937,22.577028,22.63583916666669,0.8222495
2024-12-31,22.447416,23.021917,23.347935000000025,0.8222495
2025-01-01,21.856611,22.29554,22.447415833333356,0.8222495
2025-01-02,21.925228,22.098255,21.856609583333356,0.8222495
2025-01-03,22.348145,21.80133,21.92522791666669,0.8222495
2025-01-04,21.935858,22.242382,22.348145416666682,0.8222495
2025-01-05,22.841421,22.03271,21.9358591666667,0.8222495
2025-01-06,22.21399,22.53189,22.84141958333336,0.8222495
2025-01-07,22.81302,22.275274,22.213989166666682,0.8222495
2025-01-08,22.361654,22.411041,22.813020000000023,0.8222495
2025-01-09,21.714596,21.906385,22.361654583333358,0.8222495
2025-01-10,21.64856,21.862953,21.714597083333356,0.8222495
2025-01-11,22.15646,21.748312,21.64856000000002,0.8222495
2025-01-12,21.753973,22.0441,22.15646041666669,0.8222495
2025-01-13,21.696297,22.019613,21.75397458333336,0.8222495
2025-01-14,22.010538,21.920668,21.69629791666669,0.8222495
2025-01-15,21.848314,21.837385,22.01053791666668,0.8222495
2025-01-16,21.914896,21.969603,21.848313333333355,0.8222495
2025-01-17,20.94798,22.129732,21.914897500000023,0.8222495
2025-01-18,21.279757,21.249708,20.94798041666669,0.8222495
2025-01-19,20.9644,21.594309,21.27975583333335,0.8222495
2025-01-20,22.096869,21.428787,20.96439958333336,0.8222495
2025-01-21,22.317526,22.264044,22.09686750000002,0.8222495
2025-01-22,22.39006,22.204552,22.317525416666683,0.8222495
2025-01-23,23.168869,22.385231,22.390060833333354,0.8222495
2025-01-24,23.397614,22.942522,23.168868750000026,0.8222495
2025-01-25,22.253069,23.119238,23.39761416666669,0.8222495
2025-01-26,22.337965,22.293285,22.253069166666688,0.8222495
2025-01-27,23.017105,22.524004,22.337963750000025,0.8222495
2025-01-28,23.191757,22.896502,23.017102916666687,0.8222495
2025-01-29,21.970964,22.577444,23.191755416666684,0.8222495
2025-01-30,21.983353,22.049074,21.970964166666686,0.8222495
2025-01-31,21.700878,22.00215,21.98335166666669,0.8222495
2025-02-01,22.049158,21.939482,21.700878333333353,0.8222495
2025-02-02,22.214823,22.61854,22.049158333333356,0.8222495
2025-02-03,21.971521,22.56839,22.21482291666669,0.8222495
2025-02-04,22.076714,22.513206,21.971521250000023,0.8222495
2025-02-05,24.192379,22.744793,22.076713333333355,0.8222495
2025-02-06,23.374058,24.31667,24.192379166666683,0.8222495
2025-02-07,23.491175,23.344822,23.37405708333336,0.8222495
2025-02-08,24.507332,23.648338,23.49117375000003,0.8222495
2025-02-09,25.079689,24.430689,24.50733125000002,0.8222495
2025-02-10,24.542301,24.380127,25.079690416666693,0.8222495
2025-02-11,23.608938,24.063229,24.54230208333335,0.8222495
2025-02-12,23.084951,23.604208,23.60894000000002,0.8222495
